Right,Wrong 
What Does Mu-tau Symmetry Imply About Neutrino Mixings?,Condensates at the GUT Scale
Brane Oscillations and the Cosmic Coincidence Problem,Abelian Hilbert Schemes Are Inflationary
T Violation in $Lambda_b O Lambdaell^+ell^-$ Decays With Polarized $Lambda$,Localization on P^7 X P^m (Excluding Abelian Type-1 Factors)
Twisted Gauge and Gravity Theories on the Groenewold-Moyal Plane,Kk Gravitons
Interacting Charged Particles in an Electric Field and the Unruh Effect,Type IIB on the Near Horizon Geometry of AdS_7 Reexamined
An Effective Theory for Leptogenesis,"M-point Correlators in a CFT Deformed by Quasi-primary D-terms, Non-abelian Automorphic Forms, and Dark Energy in the CMB"
Causality Violation and Naked Time Machines in AdS_5,Gauge Mediation
Coulomb Integrals and Conformal Blocks in the AdS3-WZNW Model,A Determination of the Probable Solution to the Typical State Problem
$Eta' Ogammagamma$ and the Topological Susceptibility,Heterotic Strings and Models of D1 Branes
Wilson Loops in the Large N Limit at Finite Temperature,54 Years of Debate With Nekrosov
HeatK: A Mathematica Program for Computing Heat Kernel Coefficients,Reformulating Models of Neutrinos: A Planar Method
Mechanisms of Hadron Inelastic Scattering Cross-section Growth in Multiperipheral Model Within the Framework of Perturbation Theory. Part 3,A Probe of Black Hole Complementarity in Type IIB Strings Deformed by Surface Operators in Neutrinos
Single Transverse-Spin Asymmetry in Hadronic Dijet Production,Some General Cases of Anomaly Matching in Bosonic Strings and Some General Examples of Random Tensors
Temperature Dependence of Heavy Meson Masses,Lattice Fluctuations at the Intermediate Scale
Nonpointlike Particles in Harmonic Oscillators,Partial Approaches to the Mu Problem
Infrared Finite Solutions for the Gluon Propagator and the QCD Vacuum Energy,Extending Black Branes Formed From Collapse: An Extra-ordinary Procedure
Conformal Field Theory Techniques for Large N Group Theory,Towards Ghosts
UV-IR Mixing in Non-Commutative Plane,The Solution of Bosonic Strings From Du Val Singularities
Finite One-Loop Corrections and Perturbative Gauge Invariance in Quantum Gravity Coupled to Photon Fields,A Resolution of the Little Hierarchy Problem and Event Shapes in Type IIB Compactified on Rational Surfaces Fibered Over dS_n
Universal Texture of Quark and Lepton Mass Matrices and a Discrete Symmetry Z_3,Progress in a Probe of a Check of Black Hole Complementarity in Conformal QFTs on S^7 From Orientifold Planes (Involving a Measurement of the JT Gravity/Matrix Model Correspondence via WIMPs)
Towards a General Theory of Quantized Fields on the Anti-de Sitter Space-Time,Spinning Sudakov Logs in Type IIB Strings Deformed by Nonlocal Operators Calculated via Flow Equations
Predictability and Semiclassical Approximation at the Onset of Black Hole Formation,A NS5 Brane Probe vs the Analytic Continuation of Causality in Heterotic String Theory Supported on Line Bundles Over P^4
Nonlinear Sigma Models in (1+2)-Dimensions and an Infinite Number of Conserved Currents,Nontrivial Line Bundles
A Constructive Critique of the Three Standard Systems,The Holographic-dual of Nonperturbative Models for Entropy Cone
Central Charges and Extra Dimensions in Supersymmetric Quantum Mechanics,CERN Winter School Lectures on Local Operators on M-folds Fibered Over F_4 Bundles Over Rational Surfaces Fibered Over dS_4 Fibered Over Superspace Fibered Over R^n Fibered Over Compact Atiyah-Hitchen Manifolds Fibered Over a Ricci-flat Atiyah-Hitchen Manifold
MHV Lagrangians for Yang--Mills and QCD,Nontrivial Light Operators
Subcritical Fission Reactor Based on Linear Collider,The Effective Potential in Models of Flavor and Models of Instanton Gas
Multipolar Expansions for the Relativistic N-Body Problem in the Rest-Frame Instant Form,Entropy at the Planck Scale Predicts a Multi-field Planck Formulation of M-dimensional CFTs (Including Duality on S^m)
Chiral Symmetry Restoration at Finite Temperature in the Dual Ginzburg-Landau Theory,Cosmic Rays in the Interstellar Medium
"CP--odd Correlation in the Decay of Neutral Higgs Boson Into $ZZ$, $W^+W^-$, or $T{\bar T}$",Non-abelian Structure
Lepton Flavour Violating Stau Decays Versus Seesaw Parameters: Correlations and Expected Number of Events for Both Seesaw Type-I and II,Jerusalem Lectures on a Fractional D2 Brane at $\Lambda_{QCD}$ (Taking Into Account the dS_m/R^n Correspondence)
String/$(D-5)$-brane Duality and $S$ Duality as Symmetries of Actions,Progress in the Jackiw-Teitelboim Gravity/Ising Model Correspondence
A Standard Model From the E8 X E8 Heterotic Superstring,Explaining Nonvanishing Structure in Type IIB Deformed by Unbounded Operators
3D Reduction of the Three-fermion Bethe-Salpeter Equation,GR
Construction of Nonlocal Light-cone Operators With Definite Twist,Trivial Localization in Black Branes
Essential and Inessential Features of Hawking Radiation,A Boundary Compactification of Noncommutative Inflationary Models With Neutralinos
Phenomenology of a SU(2) Triplet Higgs,The Flavor Formulation of Bosonic Strings Surrounded by a Black Brane Wrapped on the Near Horizon Geometry of R^m Revisited
M(ore) on Chiral Gauge Theories From D-Branes,"Non-cosmon S-matrix Elements in Models of (P,q) Branes in Fractional D1 Instantons"
Hydrodynamic Flow From Fast Particles,Tensor Networks in Our Solar System Are Asymmetric
Stacking Non-BPS D-Branes,"Canonical Co-isotropic Branes on the Surface of the Sun, Flavor Fluctuations at the Planck Scale, and Heavy Ions"
Proton Decay and Flavor Violating Thresholds in SO(10) Models,The Gravitational-dual of a Left-right Model With Kk Gravitons and a Measurement of a Computation of Instanton Gas at the Center of the Galaxy Using Some Specific Investigations of Discrete Non-abelian Structures via a Resolution of the SUSY CP Problem
The Integral Form of APS Boundary Conditions in the Bag Model,A Cosmon Compactification of Type I Strings Deformed by Light-ray F-terms as Perturbative QFTs
"Superspace Methods in String Theory, Supergravity and Gauge Theory",Invertible Soft-Collinear Effective Theories From a Firewall
Photoproduction of $Eta_c$ in NRQCD,The Unparticle Physics/E_6 Dynamics Correspondence and a Check of a Gravitational-dual of Topological String Theory Deformed by Line Operators via Higher-spin Particles
The Cardy-Verlinde Formula and Entropy of Topological Reissner-Nordström Black Holes in De Sitter Spaces,Automorphic Forms on Noncommutative Atiyah-Hitchen Manifolds Fibered Over Squashed K3s
Minimal Off-Shell Supergravity in Five Dimensions,Invasion of the Leading Limit From the Near Horizon Geometry of a \Z^2 Quotient of Elliptically-fibered Taub-NUT Space
Truncated BFKL Series in Electron-Proton Collisions,Hadron Collisions in Topological Strings
The Generating Solution of Regular N=8 BPS Black Holes,Jerusalem Lectures on Some General Cases of a Matrix Solution of Models of Tensor Networks
Lepton Flavor Violation in the Triplet Higgs Model,"Hyperkahler Quotients on the Moduli Space of N Copies of P^n Fibered Over an E_7 Orbifold of ALE Anti De Sitter Space Fibered Over the NUT of Hom(\mathbb{H},\C) Orbifolds of Moduli Spaces of M Copies of C^1 Fibered Over T^n as Supersymmetric Soft-Collinear Effective Theories Deformed by Non-chiral D-terms"
QCD Improved Parton Distribution Functions of ${Mathbf{gamma^*_L}}$,Progress in Perturbation Theory on T^4
Is the Electric Charge Conserved in Brane World?,On a Measurement of Gravitational-duality in Models of Tensor Networks Using Models of Bubbles
Model-Independent Analysis of Tri-bimaximal Mixing -- a Softly-Broken Hidden or an Accidental Symmetry?,Exploring Models of Instanton Gas Revisited
"$O( Ilde D, Ilde D)$ Transformations and 3D Black Hole",Central Charges in Type IIA Strings
Universality of Regge and Vibrational Trajectories in a Semiclassical Model,CERN Winter School Lectures on a Test of a Numerical Probe of a Check of Demystifying the SUSY SYK Model From Heavy Ions
Classical Open String Integrability,Geometric Transitions and the Magnetic-dual of RS Anomaly Mediation
Higgs Radiation Off Top Quarks in E^+e^- Collisions,On an Orientifold Plane in the Early Universe
Polarization and Handedness in Tau -> 3 Pi + Neutrino Decay Produced in E+e- Annihilations,Exploring the OPE: A Modified Method
"The ""Right"" Sneutrino as the LSP",On Seiberg-duality in Models of Extended Inflation
"Reply to ""Proof of the Gauge Independence of the Conformal Anomaly of Bosonic String in the Sense of Kraemmer and Rebhan""",Examining Orientifold Planes
MSGUT a La Pati-Salam : From Futility to Precision,Physical Approaches to the Confinement Problem
Dark Matter at the Galactic Center,The Transverse CP1 Model Predicts a Reduction of Representation Theory in Models of Condensates
The Theory of Ideal Yang-Mills Fluids in Symmetric Hyperbolic Form,The Extension of Metrics in Twisted General Relativity
Highlights of the SLD Physics Program at the SLAC Linear Collider,An Electric-dual of Gauge Mediation
Instabilities of Chromodyons in SO(5) Gauge Theory,Line Bundles on AdS_9
NJL-model Description of Goldstone Boson Condensation in the Color-flavor Locked Phase,A Check of Electric-duality in Models of Dark Matter
On Bound States in Quantum Field Theory,PIPT Lectures on Tomita-Takesaki Theory
E^+ E^- -> 3 Jets and Event Shapes at NNLO,Cosmic Rays to All Orders From a Boundary-dual of the MSSM
Induced N=2 Composite Supersymmetry in 2+1 Dimensions,Nonperturbative QED and a Measurement of Causality on Moduli Spaces of Enriques Surfaces From the SYK Model/Schwartzian Theory Correspondence
Feynman Parametrization and the Degenerate Electron Gas,Models of Kaons Are Alternative
Analysis of the Coupling Constants $G_{a_0etapi^0}$ and $G_{a_0eta'pi^0}$ With Light-cone QCD Sum Rules,Investigating a Gluon Reduction of a Model of Flavor: An Unstable Formalism
Black Hole Multiplicity at Particle Colliders (Do Black Holes Radiate Mainly on the Brane?),From Gluons to Abelian Vortex Equations
QED Effective Action at Finite Temperature: Two-Loop Dominance,Flow Equations in Heterotic Strings Deformed by Wilson Lines as Flow Equations in Twisted N=m Supergravity Surrounded by a Firewall
Electromagnetic Polarizabilities and Charge Radii of the Nucleons in the Diquark-model,Evaluating Models of Black Branes: Extra-ordinary Models of Fractional D3 Branes
Extra Dimensions vs. Supersymmetric Interpretation of Missing Energy Events at a Linear Collider,Entropic Approaches to the Flavor Problem
Asymmetries in Polarized Hadron Production in E^+e^- Annihilation Up to Order 1/Q,Non-metastable Effects in Models of Bubble Nucleation
Subtraction Method for NLO Corrections in Monte-Carlo Event Generators for Leptoproduction,The QFT/NCFT Correspondence vs Type IIB Strings Living on a \Z Orbifold of the Conformal Boundary of Projective ALF Spaces
Untwisted Moduli and Internal Fermions in Free Fermionic Strings,Type-1 Factors in Nonperturbative CFTs in Anomalous Dimensions
U-duality Covariant Membranes,Towards Dark Matter at the Intermediate Scale
The Non-perturbative Analytical Equation of State for the Gluon Matter. I,NS5 Branes Wrapping a T^5
CP Asymmetry Measurements in Psi K0 and the CKM Paradigm,A Probe of Bit Threads in the Effective Ising Model via Dark Matter at the Planck Scale
Exact Combinatorics of Bern-Kosower-type Amplitudes for Two-Loop $Phi^3$ Theory,Some Specific Frameworks of an Entropic Solution of Heterotic String Theory on P^m Using Bubbles at the GUT Scale
Radiative Corrections to Scalar-fermion Pair Production in High Energy E+e- Collisions,A Holographic-dual of N=n Supergravity With Gauge Group SO(m) Deformed by Wilson Lines Extremizes a Test of Dimensionality in N+1-dimensional TQFTs Dimensionally Reduced on a Harmonic Del-Pezzo From a Test of Dark Energy to All Orders
Left-right Symmetry and Heavy Particle Quantum Effects,Models of Cosmic Rays in Trivial Semidefinite Programming
UV and IR Divergences Within Dimensional Regularization in Non-Commutative Theories and Phenomenological Implications,A Measurement of the Flavor Problem Reexamined
New Limit of Pion Form Factor at Very Large $Q^2$,NS5 Instantons Are Higher-order
Gauging of 1d-space Translations for Nonrelativistic Point Particles,Exclusive Models for Instanton Gas
Thermal Equilibrium and Non-uniform Longitudinal Flow in Relativistic Heavy Ion Collisions,Hypersurface Defects at the Edge of Our Universe Reconsidered
"Chi**2 Analysis of the Minimal Supergravity Model Including WMAP, G(mu)-2 and B -> S Gamma Constraints",Progress in Twisted String Theories
The *Report,Unitarity
Quark--Antiquark Bethe--Salpeter Equation in QCD,QCD_3 Reconsidered
GUTs and Exceptional Branes in F-theory - II: Experimental Predictions,The World as IR Behavior
The Trigonometric Counterpart of the Haldane Shastry Model,The Formulation of 'T Hooft Conditions in Planck Models Maximizes a Measurement of a Surface Defect via F-Theory on a Non-compact Klebanov-Strassler Background
Chiral Symmetry on ${\Bf S}^2_F$,Einstein Gravity With Superdiffeomorphism Symmetric Kahler Potential on the Boundary of Affine Bundles Over CY_1 X CY_4 Fibered Over Moduli Spaces of Projective Calabi-Yau N-folds
Ultra High Energy Neutrino-nucleon Cross Section From Cosmic Ray Experiments and Neutrino Telescopes,A Check of the Boundary-dual of the Conformal C=1 Matrix Model Realizes a Black Brane Probe
Beyond the Standard Model in Many Directions,Scattering Equations vs a Probe of the Formulation of Quantum Models of Condensates Using Tensor Networks in the Interstellar Medium
"Gerbes, Quantum Mechanics and Gravity",A Magnetic-dual of Supersymmetric QED_3 Maximizes Clebsch-Gordon Decomposition in NCFTs Dimensionally Reduced on a Symplectic Manifold
Boundary Energy of the Open XXZ Chain From New Exact Solutions,Black Holes at the Edge of Our Universe
"D3 Brane(s) in AdS_5 X S^5 and N =4,2,1 SYM",Models of Tensor Networks
A Theoretical Framework for R-parity Violation,Vanishing Feynman Diagrams
"Reply to Comment on `Parton Distributions, D/u, and Higher Twist Effects at High X'",Mathematica School Lectures on a Better Approach to the Flavor Problem
Large Mixing From Small: Pseudo-Dirac Neutrinos and the Singular Seesaw,Remarks on a Test of the JT Gravity/GR Correspondence (Excluding Orientifold Planes)
"Search of Stop, Sbottom, and Stau at an $E^+e^-$ Linear Collider With $Sqrts$ = 0.5 - 2 TeV",A Resolution of the LHC Inverse Problem vs Quasinormal Modes in the O(n) Model
Numerical Modelling of Bose-Einstein Correlations,S-duality in Unstable Models
"R-Parity Breaking via Type II Seesaw, Decaying Gravitino Dark Matter and PAMELA Positron Excess",Clebsch-Gordon Decomposition on AdS_n
On Nonleptonic Decays of Supermultiplets,"Constructing Type IIB on Hirzebruch Surfaces, Some Novel Examples of JT Gravity With Hyperplane Operators Compactified on an E_8 Quotient of a Lens Space, and General Localization"
Seiberg Duality in Matrix Model,Partition Functions in Successful Inflation
A Neutrino Factory for Both Large and Small Theta_13,Evaluating the Extension of Conformal 9-dimensional Topologically Twisted Matrix Models Deformed by Wilson Lines: Melonic Diagrams
Distinguishing Anomaly Mediation From Gauge Mediation With a Wino NLSP,Reviewing Models of Spacetime Foam: A Thermodynamic Approach
Gauge-mediated SUSY Breaking at an Intermediate Scale,Representations on Klebanov-Strassler Backgrounds With Equivariant Principal Bundle Fibered Over dS_4
Negative Dimensional Group Extrapolation and Dualities in N = 1 Supersymmetric Gauge Theories,A Compactification of Gerbs in Models of Hadrons
Search Limits for Extra Neutral Gauge Bosons at High Energy Lepton Colliders,Non-abelian Electric-duality and the Non-effective Quantum Gravitational Higgs Mechanism
Intersecting D-Branes in Ten and Six Dimensions,"A (P,q) 7- Brane Black Hole Formed From Collapse at CDMS"
Renormalization Group Relations and Searching for Abelian Z' Boson in the Four-fermionic Processes,Duality on Minkowskian Hirzebruch Surfaces (Including a Test of Bubble Nucleation at the Edge of Our Universe via Sleptons)
3-D Interacting CFTs and Generalized Higgs Phenomenon in Higher Spin Theories on AdS,Comments on Data From Bicep II
Critical Behavior of Non Order-Parameter Fields,From Examples of BMS Supertranslations to N=6-duality in N=9 CFTs Compactified on E_6 Bundles Over ALF Riemann Surfaces
Hawking Radiation and Covariant Anomalies,Neutralinos
Electromagnetic Corrections to $Pi ^-$p Scattering Length From Pionic Hydrogen,Scattering Equations in Models of Cosmic Rays Checked From Integrable Hierarchies
Hidden Fine Tuning in the Quark Sector of Little Higgs Models,The Reduction of Multi-field Unparticle Physics
"Predictions for Spectral Distortions, Event Rates and D-N Asymmetries for the Super - Kamiokande Detector",From Black Branes to Vanishing Hilbert Schemes
Majorana Mass Zeroes From Triplet VEV Without Majoron Problem,Vanishing Sheaf Cohomology Using a Black Brane at the Planck Scale
Correlators of Local Operators and 1/8 BPS Wilson Loops on S^2 From 2d YM and Matrix Models,Models of Flavor
On Conserved Quantities in the Theory of Charged Boson Fields of Spin 0 and 1,Instantons
Hints From the Standard Model for Particle Masses and Mixings,Nonvanishing Conformal Blocks
D Branes in 2d String Theory and Classical Limits,The Hadronic Weinberg Effect in General Kloosterman Sums
New Variables for Neutrino Oscillation Diagnostics at Superkamiokande and the Sudbury Neutrino Observatory,Bubbles at the Weak Scale via Electric-duality
N-point Amplitudes in Intersecting Brane Models,Reconstructing F-Theory Surrounded by an A-type Brane Wrapped on a SU(m) Orbifold of a Line Bundle Over AdS_4 Bundles Over CY_n
CP Conserving Constraints on Supersymmetric CP Violation in the MSSM,Clarifying Discrete Dyson-Sundrum Conditions: The Solution of Metrics in Models of Neutralinos
Spectrum of a Duality-twisted Ising Quantum Chain,Duality
Superheavy Particles Either for UHECR of for Muon Anomaly,Gell-Mann Dynamics as Holographic-duality in Topologically Twisted NCFTs
Chiral Gravity in Three Dimensions,Bosonic Strings Living on T^5 Predicted Using Four-quark Operators
Four-dimensional QCD and Fiberwise Duality,Orientifold Planes in the Interstellar Medium
A Comprehensive Description of Multiple Observables in Heavy-ion Collisions at SPS,The Flavor Extension of Non-non-lattice Models
Does the NJL Chiral Phase Transition Affect the Elliptic Flow of a Fluid at Fixed $Eta/s$?,"A Boundary-dual of Superconformal NCFTs in the Presence of Black Branes Wrapped on the Near Horizon Geometry of an Affine Bundle Over dS_9, a Check of Clebsch-Gordon Decomposition on the Near Horizon Geometry of a Harmonic Compact Linear Dilaton Background Using Models of Cosmic Rays, and General Vortices"
Probing New Physics From CP Violation in Radiative B Decays,Fractional D2 Instantons Reconsidered
A Landscape of Non-supersymmetric AdS Vacua on Coset Manifolds,Dark Matter at the Weak Scale
Statistical Hadronization of Heavy Flavor Quarks in Elementary Collisions: Successes and Failures,Supergravity
Schwinger Model and String Percolation in Hadron-Hadron and Heavy Ion Collisions,Models of Massive Inflation Using a Prediction of Integrability on R^n X P^6 X R^m Using a Spin(n) Reduction of Aranov-Bohm-Aranov-Bohm Mechanics
"Effective Actions, Radii and Electromagnetic Polarizabilities of Hadrons in QCD String Theory",The Typical State Problem (Involving Cosmic Censorship) Conjectured Using Divisors
The Glueball Regge Trajectory From the String-inspired Theory,The Holographic-dual of Type IIA Strings on dS_8 in Explaining a Toda Quantum Field Theory Dimensionally Reduced on CY_m
Massive Elementary Particles and Black Holes in Resummed Quantum Gravity,Topologically Twisted QFTs
Deforming Einstein's Gravity,Analyzing a Model for Dark Matter
Regge Behaviour of Structure Functions and DGLAP Evolution Equation in Leading Order,Nahm's Equations on the Moduli Space of Affine Bundles Over Riemann Surfaces via Leptons
Family of Singular Solutions in a SUSY Bulk-Boundary System,A Hologram in String Theories Surrounded by a Stack of Fractional D3 Branes Wrapping a S^n as the TQFT/CP2 Model Correspondence
Brane World Scenario With M-form Field: Stabilisation of Radion Modulus and Self Tuning Solutions,Non-minimal Approaches to the Black-hole Information Problem
"D-Sitter Space: Causal Structure, Thermodynamics, and Entropy",Clarifying Parent Models With Leptons and Symplectic Quotients on Projective Anti De Sitter Space
Accurate QCD Predictions for Heavy-quark Jets at the Tevatron and LHC,Harmonic Analysis in Supergravity With a Non-abelian Deformation
Epsilon'/epsilon at the NLO: 10 Years Later,Instanton Liquids on the Surface of the Sun
"Type II See-Saw Mechanism, Deviations From Bimaximal Neutrino Mixing and Leptogenesis",Equations of Type IIA Strings
Triangular Mass Matrices of Quarks and Cabibbo-Kobayashi-Maskawa Mixing,How Boltzmann-Planck Tamed UV Behavior From CY_m
The Ramond Sector of Open Superstring Field Theory,Conical Singularities at N Loops
Diffraction in Pythia,Entangled Black Branes Formed From Collapse at the Weak Scale
Pinching Phenomenon: Central Feature in Out of Equilibrium Thermal Field Theories,Harmonic Analysis in N=4 NCFTs Deformed by Hypersurface Operators
"D-Branes, Pi-Stability and Theta-Stability",Kk Gravitons and Gross Conditions in Bosonic Strings
On the Dual-vector Field Condensation in the Dual Monopole Nambu-Jona-Lasinio Model With Dual Dirac Strings,Investigating the Non-seesaw SUSY SYK Model vs Observables
Effects of Supersymmetric CP Violating Phases on B O X_s L^+ L^- and Epsilon_K,"Examining Some Novel Cases of the Solution of GR on Ext^3(\R,\Z) Quotients of M Copies of C^n: A Next-to-leading Method"
Top Quark Properties in Little Higgs Models,Quasinormal Modes and the Extension of Adjoint Extremal CFTs in the Presence of Hyperplane Defects
Confinement Encoded in Landau Gauge Gluon and Ghost Propagators,QCD Deformed by Chiral D-terms (Excluding Spacetime Foam in the Early Universe)
On the Thermodynamics of Chiral Symmetry Restoration,Twisted Topological Field Theories Near a Black Brane Formed From Collapse and Firewalls After Reheating
Secondary Particles Spectra in the Decay of a Polarized Top Quark With Anomalous $tWb$ Coupling,Comments on Instanton Liquids in the Early Universe
Analytic Properties of Thermal Corrected Boson Propagators,From Some Novel Investigations of Orientifold Planes to Partition Functions in an Invertible Matrix Model on AdS_m
Towards an Octonionic World,B-mesons as a Probe of a Non-large Mass Solution of a Model for A-type Branes
Gauge Dependence of Four-Fermion QED Green Function and a Breakdown of Gauge Invariance in Atom-Like Bound State Calculations,Towards Central Charges on AdS_n
"Branching Ratios, Forward-backward Asymmetry and Angular Distributions of $B O K_1l^+l^-$ Decays",Maxwell and Me
$W_{infty}$ Algebras and Incompressibility in the Quantum Hall Effect,Representations in QED_3 With Adjoint Scalars on Enriques Surfaces of E_6 Holonomy Fibered Over dS_m
On the Direct Evidence of Time-reversal Non-invariance in the $K^0-\bar K^0$ System,A Check of a Landau-Ginzburg Analytic Continuation of Topological String Theory
Coordinate Space Distributions of Antiquark Flavor Asymmetries in the Proton,Demystifying Event Shapes
Colored Resonances at the Tevatron: Phenomenology and Discovery Potential in Multijets,Tomita-Takesaki Theory
Induced Gauge Fields in the Path Integral,The U-dual of Models of Dions
E_11: Sign of the Times,Possible Approaches to the Strong CP Problem
Estimate of the Theta+ Width in the Relativistic Mean Field Approximation,From Cosmic Rays at the Intermediate Scale to Cosmic Rays at the Edge of Our Universe
Spin Dependent Drell-Yan Beyond Leading Order: Non-Singlet Virtual Corrections to $O(alpha_s^2)$,The Solution of Gauge Mediated Models of Cosmic Rays
The Process $Epem O J/ Psi X(3940)$ at $Sqrt S = 10.6$ GeV in the Framework of Light Cone Formalism,Trivial Harmonic Analysis as Magnetic-duality in Topological String Theory (Involving a Geometric Langlands-dual of Type IIB Strings )
Violation of the Appelquist-Carazzone Decoupling in Non-SUSY GUT,An Analytic Continuation of Geometric Langlands-dualities in Models of Magnons
Top-tagging: A Method for Identifying Boosted Hadronic Tops,Analyzing Dimensionality in Topological Strings on Non-compact Symmetric Spaces: Discrete Hilbert Schemes
Oscillatory Behaviour in Homogeneous String Cosmology Models,Some Specific Computations of the Gravitational-dual of a Model for Inflation vs a Probe of a Resolution of the Typical State Problem Using the Cosmological Constant Problem
Rigid Invariance as Derived From BRS Invariance: The Abelian Higgs Model,TASI Lectures on Black Hole Complementarity in Effective RS2
The Gravitational Instability of the Vacuum: Insight Into the Cosmological Constant Problem,Monopoles Reconsidered
Isospin Mixing of Narrow Pentaquark States,Warped Anomaly Mediation and Positrons
Generalized Cahn Effect and Parton 3D Motion in Covariant Approach,Unitarity in Type IIA Deformed by Continuous-spin Operators as Some Specific Examples of Integrable Hierarchies on S^n
Casimir Energy of Massive MIT Fermions in a Bohm-Aharonov Background,A Probe of the Solution to the Typical State Problem via a Parent Compactification of Bosonic Strings Living on an E_8 Quotient of De Sitter Space
Cosmological and Astrophysical Implications of Sterile Neutrinos,Kerr Black Holes
Hadronic Cross Section From Radiative Return,The Compactification of Predictive Minimal Landau-Ginzburg Models Implements an Instanton (Involving an ADE Singularity at $\Lambda_{QCD}$)
The Crystallography of Three-Flavor Quark Matter,A Test of a Warped Throat in Models of Special Lagrangian Branes From Higgses and Vanishing Donaldson-Witten Invariants
New Massive Supergravity Multiplets,Obtaining Thermodynamics
Charge Distributions in Transverse Coordinate Space and in Impact Parameter Space,Discussing JT Gravity With Abelian Superpotential Living on CY_m and the Compactification of a Minimal Model for Inflation
Real Time Particle Production in QED and QCD From Strong Fields and the Back-Reaction Problem,Reformulating Pions: The Non-quantum Limit
K and B Meson Mixing in Warped Extra Dimensions With Custodial Protection,A Numerical Analytical Computation of Nonvanishing Integrability Using Black Holes at the Edge of Our Universe
Lectures on High-energy Heavy-ion Collisions at the LHC,Dark Matter at the GUT Scale Maximizes Twisted QED
"Gamma Ray Bursts as Probes of Neutrino Mass, Quantum Gravity and Dark Energy",WZW QFTs
Constraining Spectral Functions at Finite Temperature and Chemical Potential With Exact Sum Rules in Asymptotically Free Theories,The Cosmic Coincidence Problem as Reformulating the Tricritical Ising Model
"Noncommutative $D_3$-brane, Black Holes and Attractor Mechanism",A Measurement of Locality Using Heterotic Strings Deformed by Chern-Simons Terms as the Nonperturbative Analytic Continuation of Chiral QFTs on Moduli Spaces of Lens Spaces With Equivariant Fundamental Group
A Neutrino Factory Manifesto,Progress in Rotation Symmetric Vortex Equations
The Moduli Space of Two U(1) Instantons on Noncommutative $R^4$ and $R^3 Imes S^1$,Partial Approaches to the SUSY CP Problem
A Three-parameter Neutrino Mass Matrix With Maximal CP Violation,Towards Renormalization in the Ising Model
Axial U(1) Dynamics in Eta and Eta' Photoproduction,The Lithium Problem
MSW Without Matter,Comment on a Proposal by Denef
The Super-Liouville-Equation on the Half-Line,On the Solution to the U(1) Problem via a Certain Notion of Sheaf Cohomology
Analysis of Constrained Theories Without Use of Primary Constraints,Matrix Models Near Hypersurface Defects
NLO Calculation of $Epsilon^{prime}/epsilon$ in QCD and QED Within the Lattice QCD Framework,The Strong CP Problem and the Solution of Twisted Unparticle Physics on M Copies of CY_7
Lee-Quigg-Thacker Bounds for Higgs Boson Masses in a Two-Doublet Model,Cool Horizons for Anomalies
Conformal Scalar Propagation on the Schwarzschild Black-Hole Geometry,Quasinormal Modes Reconsidered
The Penrose Limit of AdS*S Space and Holography,General Gromov-Witten Invariants as the QED/TQFT Correspondence
Universal Doublet-Singlet Higgs Couplings and Phenomenology at the CERN Large Hadron Collider,Towards Some General Cases of Magnetic-duality in String Theory Living on T^2
Soft High Energy Scattering in Nonperturbative QCD,An Extension of Perturbation Theory in the Curvaton B-model and Light Operators
Current Algebra in the Path Integral Framework,Correlators of Quasi-primary Operators
Pseudoscalar Quarkonium Exclusive Decays to Vector Meson Pair,Bubbles at the Ergosphere and the Extension of Twisted Soft-Collinear Effective Theories Deformed by Marginal D-terms
"Large CP Phases and the Cancellation Mechanism in EDMs in SUSY, String and Brane Models",Some Specific Frameworks of Half-BPS Operator Mixing Reexamined
Unique Deformation of Local Quantum Field Theory Resulting in Divergence-free Amplitudes,From a Certain Notion of Sheaf Cohomology to B-mesons
Phenomenology of Single Transverse Spin Asymmetries,A Measurement of the Reduction of Quantum Mechanics via Automorphic Forms on Klebanov-Strassler Backgrounds
Photon-Proton and Photon-Photon Scattering From Nucleon-Nucleon Forward Amplitudes,Models of Heavy Charginos Realized via Quasimodular Forms
On the Correspondence Between the Strongly Coupled 2-Flavor Lattice Schwinger Model and the Heisenberg Antiferromagnetic Chain,Progress in the Large Mass Formulation of Chaotic Inflation
Noncommutative Vector Bundles Over Fuzzy CP^N and Their Covariant Derivatives,Discrete Unitarity
Hybrid and Conventional Mesons in the Flux Tube Model: Numerical Studies and Their Phenomenological Implications,Discrete Symplectic Quotients Are 2-dimensional
Gravitating Lumps,"A N=m-dual of Type IIB Strings Deformed by Chern-Simons Terms, Spinning Curvaton Events, and a Probe of the Lattice Solution of Topologically Twisted QED"
Anomalies Without Massless Particles,Mathematica School Lectures on Brane-assisted Inflation at the Event Horizon
A Covariant Generalization of the Real-Time Green's Functions Method in the Theory of Kinetic Equations,Some Little-known Computations of a Firewall
Extended Geometric Scaling From Generalized Traveling Waves,Some Specific Frameworks of the CFT/Topological Field Theory Correspondence
Weak Binding Limit and Non Zero Angular Momentum States in Light-Front Dynamics,Orientifold Planes Are Hadronic
The Gravitational Action in Asymptotically AdS and Flat Spacetimes,Comments on the Solution of Heterotic String Theory Far From a Black Brane Formed From Collapse
Direct Signals for Large Extra Dimensions in the Production of Fermion Pairs at Linear Colliders,Coleman-Nelson and Me
Hadronic Eta and Eta-prime Decays,Anomalies Reexamined
